id,user,user.profile,user.profile.personal,user.profile.personal.demographics,user.profile.personal.demographics.age,user.profile.personal.demographics.location,user.profile.personal.demographics.location.coordinates,user.profile.personal.demographics.location.coordinates.lat,user.profile.personal.demographics.location.coordinates.lng,user.profile.personal.demographics.location.country,user.profile.personal.email,user.profile.personal.name,user.profile.preferences,user.profile.preferences.notifications,user.profile.preferences.notifications.email,user.profile.preferences.notifications.push,user.profile.preferences.notifications.push.enabled,user.profile.preferences.notifications.push.frequency,user.profile.preferences.notifications.sms,user.profile.preferences.theme,user.settings,user.settings.privacy,user.settings.privacy.analytics,user.settings.privacy.analytics.cookies,user.settings.privacy.analytics.cookies.analytics,user.settings.privacy.analytics.cookies.essential,user.settings.privacy.analytics.cookies.marketing,user.settings.privacy.analytics.tracking,user.settings.privacy.data_sharing,user.settings.privacy.public_profile
1,"{""profile"": {""personal"": {""name"": ""User 1"", ""email"": ""user1@example.com"", ""demographics"": {""age"": 36, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 26.798626, ""lng"": -122.543102}}}}, ""preferences"": {""theme"": ""dark"", ""notifications"": {""email"": true, ""sms"": false, ""push"": {""enabled"": false, ""frequency"": ""daily""}}}}, ""settings"": {""privacy"": {""public_profile"": false, ""data_sharing"": false, ""analytics"": {""tracking"": true, ""cookies"": {""essential"": true, ""analytics"": false, ""marketing"": false}}}}}","{""personal"": {""name"": ""User 1"", ""email"": ""user1@example.com"", ""demographics"": {""age"": 36, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 26.798626, ""lng"": -122.543102}}}}, ""preferences"": {""theme"": ""dark"", ""notifications"": {""email"": true, ""sms"": false, ""push"": {""enabled"": false, ""frequency"": ""daily""}}}}","{""name"": ""User 1"", ""email"": ""user1@example.com"", ""demographics"": {""age"": 36, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 26.798626, ""lng"": -122.543102}}}}","{""age"": 36, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 26.798626, ""lng"": -122.543102}}}",36,"{""country"": ""USA"", ""coordinates"": {""lat"": 26.798626, ""lng"": -122.543102}}","{""lat"": 26.798626, ""lng"": -122.543102}",26.798626,-122.543102,USA,user1@example.com,User 1,"{""theme"": ""dark"", ""notifications"": {""email"": true, ""sms"": false, ""push"": {""enabled"": false, ""frequency"": ""daily""}}}","{""email"": true, ""sms"": false, ""push"": {""enabled"": false, ""frequency"": ""daily""}}",True,"{""enabled"": false, ""frequency"": ""daily""}",False,daily,False,dark,"{""privacy"": {""public_profile"": false, ""data_sharing"": false, ""analytics"": {""tracking"": true, ""cookies"": {""essential"": true, ""analytics"": false, ""marketing"": false}}}}","{""public_profile"": false, ""data_sharing"": false, ""analytics"": {""tracking"": true, ""cookies"": {""essential"": true, ""analytics"": false, ""marketing"": false}}}","{""tracking"": true, ""cookies"": {""essential"": true, ""analytics"": false, ""marketing"": false}}","{""essential"": true, ""analytics"": false, ""marketing"": false}",False,True,False,True,False,False
2,"{""profile"": {""personal"": {""name"": ""User 2"", ""email"": ""user2@example.com"", ""demographics"": {""age"": 40, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 39.630649, ""lng"": -80.412185}}}}, ""preferences"": {""theme"": ""dark"", ""notifications"": {""email"": true, ""sms"": true, ""push"": {""enabled"": true, ""frequency"": ""immediate""}}}}, ""settings"": {""privacy"": {""public_profile"": false, ""data_sharing"": false, ""analytics"": {""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": false, ""marketing"": false}}}}}","{""personal"": {""name"": ""User 2"", ""email"": ""user2@example.com"", ""demographics"": {""age"": 40, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 39.630649, ""lng"": -80.412185}}}}, ""preferences"": {""theme"": ""dark"", ""notifications"": {""email"": true, ""sms"": true, ""push"": {""enabled"": true, ""frequency"": ""immediate""}}}}","{""name"": ""User 2"", ""email"": ""user2@example.com"", ""demographics"": {""age"": 40, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 39.630649, ""lng"": -80.412185}}}}","{""age"": 40, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 39.630649, ""lng"": -80.412185}}}",40,"{""country"": ""USA"", ""coordinates"": {""lat"": 39.630649, ""lng"": -80.412185}}","{""lat"": 39.630649, ""lng"": -80.412185}",39.630649,-80.412185,USA,user2@example.com,User 2,"{""theme"": ""dark"", ""notifications"": {""email"": true, ""sms"": true, ""push"": {""enabled"": true, ""frequency"": ""immediate""}}}","{""email"": true, ""sms"": true, ""push"": {""enabled"": true, ""frequency"": ""immediate""}}",True,"{""enabled"": true, ""frequency"": ""immediate""}",True,immediate,True,dark,"{""privacy"": {""public_profile"": false, ""data_sharing"": false, ""analytics"": {""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": false, ""marketing"": false}}}}","{""public_profile"": false, ""data_sharing"": false, ""analytics"": {""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": false, ""marketing"": false}}}","{""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": false, ""marketing"": false}}","{""essential"": true, ""analytics"": false, ""marketing"": false}",False,True,False,False,False,False
3,"{""profile"": {""personal"": {""name"": ""User 3"", ""email"": ""user3@example.com"", ""demographics"": {""age"": 54, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 36.492281, ""lng"": -98.772851}}}}, ""preferences"": {""theme"": ""dark"", ""notifications"": {""email"": false, ""sms"": true, ""push"": {""enabled"": false, ""frequency"": ""immediate""}}}}, ""settings"": {""privacy"": {""public_profile"": true, ""data_sharing"": false, ""analytics"": {""tracking"": true, ""cookies"": {""essential"": true, ""analytics"": true, ""marketing"": false}}}}}","{""personal"": {""name"": ""User 3"", ""email"": ""user3@example.com"", ""demographics"": {""age"": 54, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 36.492281, ""lng"": -98.772851}}}}, ""preferences"": {""theme"": ""dark"", ""notifications"": {""email"": false, ""sms"": true, ""push"": {""enabled"": false, ""frequency"": ""immediate""}}}}","{""name"": ""User 3"", ""email"": ""user3@example.com"", ""demographics"": {""age"": 54, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 36.492281, ""lng"": -98.772851}}}}","{""age"": 54, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 36.492281, ""lng"": -98.772851}}}",54,"{""country"": ""USA"", ""coordinates"": {""lat"": 36.492281, ""lng"": -98.772851}}","{""lat"": 36.492281, ""lng"": -98.772851}",36.492281,-98.772851,USA,user3@example.com,User 3,"{""theme"": ""dark"", ""notifications"": {""email"": false, ""sms"": true, ""push"": {""enabled"": false, ""frequency"": ""immediate""}}}","{""email"": false, ""sms"": true, ""push"": {""enabled"": false, ""frequency"": ""immediate""}}",False,"{""enabled"": false, ""frequency"": ""immediate""}",False,immediate,True,dark,"{""privacy"": {""public_profile"": true, ""data_sharing"": false, ""analytics"": {""tracking"": true, ""cookies"": {""essential"": true, ""analytics"": true, ""marketing"": false}}}}","{""public_profile"": true, ""data_sharing"": false, ""analytics"": {""tracking"": true, ""cookies"": {""essential"": true, ""analytics"": true, ""marketing"": false}}}","{""tracking"": true, ""cookies"": {""essential"": true, ""analytics"": true, ""marketing"": false}}","{""essential"": true, ""analytics"": true, ""marketing"": false}",True,True,False,True,False,True
4,"{""profile"": {""personal"": {""name"": ""User 4"", ""email"": ""user4@example.com"", ""demographics"": {""age"": 20, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 34.878727, ""lng"": -73.627826}}}}, ""preferences"": {""theme"": ""dark"", ""notifications"": {""email"": false, ""sms"": true, ""push"": {""enabled"": false, ""frequency"": ""daily""}}}}, ""settings"": {""privacy"": {""public_profile"": false, ""data_sharing"": true, ""analytics"": {""tracking"": true, ""cookies"": {""essential"": true, ""analytics"": true, ""marketing"": false}}}}}","{""personal"": {""name"": ""User 4"", ""email"": ""user4@example.com"", ""demographics"": {""age"": 20, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 34.878727, ""lng"": -73.627826}}}}, ""preferences"": {""theme"": ""dark"", ""notifications"": {""email"": false, ""sms"": true, ""push"": {""enabled"": false, ""frequency"": ""daily""}}}}","{""name"": ""User 4"", ""email"": ""user4@example.com"", ""demographics"": {""age"": 20, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 34.878727, ""lng"": -73.627826}}}}","{""age"": 20, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 34.878727, ""lng"": -73.627826}}}",20,"{""country"": ""USA"", ""coordinates"": {""lat"": 34.878727, ""lng"": -73.627826}}","{""lat"": 34.878727, ""lng"": -73.627826}",34.878727,-73.627826,USA,user4@example.com,User 4,"{""theme"": ""dark"", ""notifications"": {""email"": false, ""sms"": true, ""push"": {""enabled"": false, ""frequency"": ""daily""}}}","{""email"": false, ""sms"": true, ""push"": {""enabled"": false, ""frequency"": ""daily""}}",False,"{""enabled"": false, ""frequency"": ""daily""}",False,daily,True,dark,"{""privacy"": {""public_profile"": false, ""data_sharing"": true, ""analytics"": {""tracking"": true, ""cookies"": {""essential"": true, ""analytics"": true, ""marketing"": false}}}}","{""public_profile"": false, ""data_sharing"": true, ""analytics"": {""tracking"": true, ""cookies"": {""essential"": true, ""analytics"": true, ""marketing"": false}}}","{""tracking"": true, ""cookies"": {""essential"": true, ""analytics"": true, ""marketing"": false}}","{""essential"": true, ""analytics"": true, ""marketing"": false}",True,True,False,True,True,False
5,"{""profile"": {""personal"": {""name"": ""User 5"", ""email"": ""user5@example.com"", ""demographics"": {""age"": 58, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 36.600731, ""lng"": -93.954272}}}}, ""preferences"": {""theme"": ""light"", ""notifications"": {""email"": true, ""sms"": false, ""push"": {""enabled"": true, ""frequency"": ""immediate""}}}}, ""settings"": {""privacy"": {""public_profile"": true, ""data_sharing"": false, ""analytics"": {""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": true, ""marketing"": true}}}}}","{""personal"": {""name"": ""User 5"", ""email"": ""user5@example.com"", ""demographics"": {""age"": 58, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 36.600731, ""lng"": -93.954272}}}}, ""preferences"": {""theme"": ""light"", ""notifications"": {""email"": true, ""sms"": false, ""push"": {""enabled"": true, ""frequency"": ""immediate""}}}}","{""name"": ""User 5"", ""email"": ""user5@example.com"", ""demographics"": {""age"": 58, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 36.600731, ""lng"": -93.954272}}}}","{""age"": 58, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 36.600731, ""lng"": -93.954272}}}",58,"{""country"": ""USA"", ""coordinates"": {""lat"": 36.600731, ""lng"": -93.954272}}","{""lat"": 36.600731, ""lng"": -93.954272}",36.600731,-93.954272,USA,user5@example.com,User 5,"{""theme"": ""light"", ""notifications"": {""email"": true, ""sms"": false, ""push"": {""enabled"": true, ""frequency"": ""immediate""}}}","{""email"": true, ""sms"": false, ""push"": {""enabled"": true, ""frequency"": ""immediate""}}",True,"{""enabled"": true, ""frequency"": ""immediate""}",True,immediate,False,light,"{""privacy"": {""public_profile"": true, ""data_sharing"": false, ""analytics"": {""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": true, ""marketing"": true}}}}","{""public_profile"": true, ""data_sharing"": false, ""analytics"": {""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": true, ""marketing"": true}}}","{""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": true, ""marketing"": true}}","{""essential"": true, ""analytics"": true, ""marketing"": true}",True,True,True,False,False,True
6,"{""profile"": {""personal"": {""name"": ""User 6"", ""email"": ""user6@example.com"", ""demographics"": {""age"": 47, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 27.587053, ""lng"": -81.237219}}}}, ""preferences"": {""theme"": ""dark"", ""notifications"": {""email"": true, ""sms"": true, ""push"": {""enabled"": false, ""frequency"": ""immediate""}}}}, ""settings"": {""privacy"": {""public_profile"": true, ""data_sharing"": false, ""analytics"": {""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": false, ""marketing"": false}}}}}","{""personal"": {""name"": ""User 6"", ""email"": ""user6@example.com"", ""demographics"": {""age"": 47, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 27.587053, ""lng"": -81.237219}}}}, ""preferences"": {""theme"": ""dark"", ""notifications"": {""email"": true, ""sms"": true, ""push"": {""enabled"": false, ""frequency"": ""immediate""}}}}","{""name"": ""User 6"", ""email"": ""user6@example.com"", ""demographics"": {""age"": 47, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 27.587053, ""lng"": -81.237219}}}}","{""age"": 47, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 27.587053, ""lng"": -81.237219}}}",47,"{""country"": ""USA"", ""coordinates"": {""lat"": 27.587053, ""lng"": -81.237219}}","{""lat"": 27.587053, ""lng"": -81.237219}",27.587053,-81.237219,USA,user6@example.com,User 6,"{""theme"": ""dark"", ""notifications"": {""email"": true, ""sms"": true, ""push"": {""enabled"": false, ""frequency"": ""immediate""}}}","{""email"": true, ""sms"": true, ""push"": {""enabled"": false, ""frequency"": ""immediate""}}",True,"{""enabled"": false, ""frequency"": ""immediate""}",False,immediate,True,dark,"{""privacy"": {""public_profile"": true, ""data_sharing"": false, ""analytics"": {""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": false, ""marketing"": false}}}}","{""public_profile"": true, ""data_sharing"": false, ""analytics"": {""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": false, ""marketing"": false}}}","{""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": false, ""marketing"": false}}","{""essential"": true, ""analytics"": false, ""marketing"": false}",False,True,False,False,False,True
7,"{""profile"": {""personal"": {""name"": ""User 7"", ""email"": ""user7@example.com"", ""demographics"": {""age"": 55, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 29.331834, ""lng"": -95.698758}}}}, ""preferences"": {""theme"": ""light"", ""notifications"": {""email"": false, ""sms"": false, ""push"": {""enabled"": false, ""frequency"": ""immediate""}}}}, ""settings"": {""privacy"": {""public_profile"": true, ""data_sharing"": true, ""analytics"": {""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": false, ""marketing"": false}}}}}","{""personal"": {""name"": ""User 7"", ""email"": ""user7@example.com"", ""demographics"": {""age"": 55, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 29.331834, ""lng"": -95.698758}}}}, ""preferences"": {""theme"": ""light"", ""notifications"": {""email"": false, ""sms"": false, ""push"": {""enabled"": false, ""frequency"": ""immediate""}}}}","{""name"": ""User 7"", ""email"": ""user7@example.com"", ""demographics"": {""age"": 55, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 29.331834, ""lng"": -95.698758}}}}","{""age"": 55, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 29.331834, ""lng"": -95.698758}}}",55,"{""country"": ""USA"", ""coordinates"": {""lat"": 29.331834, ""lng"": -95.698758}}","{""lat"": 29.331834, ""lng"": -95.698758}",29.331834,-95.698758,USA,user7@example.com,User 7,"{""theme"": ""light"", ""notifications"": {""email"": false, ""sms"": false, ""push"": {""enabled"": false, ""frequency"": ""immediate""}}}","{""email"": false, ""sms"": false, ""push"": {""enabled"": false, ""frequency"": ""immediate""}}",False,"{""enabled"": false, ""frequency"": ""immediate""}",False,immediate,False,light,"{""privacy"": {""public_profile"": true, ""data_sharing"": true, ""analytics"": {""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": false, ""marketing"": false}}}}","{""public_profile"": true, ""data_sharing"": true, ""analytics"": {""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": false, ""marketing"": false}}}","{""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": false, ""marketing"": false}}","{""essential"": true, ""analytics"": false, ""marketing"": false}",False,True,False,False,True,True
8,"{""profile"": {""personal"": {""name"": ""User 8"", ""email"": ""user8@example.com"", ""demographics"": {""age"": 37, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 38.255859, ""lng"": -79.602965}}}}, ""preferences"": {""theme"": ""light"", ""notifications"": {""email"": true, ""sms"": false, ""push"": {""enabled"": true, ""frequency"": ""immediate""}}}}, ""settings"": {""privacy"": {""public_profile"": false, ""data_sharing"": true, ""analytics"": {""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": true, ""marketing"": true}}}}}","{""personal"": {""name"": ""User 8"", ""email"": ""user8@example.com"", ""demographics"": {""age"": 37, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 38.255859, ""lng"": -79.602965}}}}, ""preferences"": {""theme"": ""light"", ""notifications"": {""email"": true, ""sms"": false, ""push"": {""enabled"": true, ""frequency"": ""immediate""}}}}","{""name"": ""User 8"", ""email"": ""user8@example.com"", ""demographics"": {""age"": 37, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 38.255859, ""lng"": -79.602965}}}}","{""age"": 37, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 38.255859, ""lng"": -79.602965}}}",37,"{""country"": ""USA"", ""coordinates"": {""lat"": 38.255859, ""lng"": -79.602965}}","{""lat"": 38.255859, ""lng"": -79.602965}",38.255859,-79.602965,USA,user8@example.com,User 8,"{""theme"": ""light"", ""notifications"": {""email"": true, ""sms"": false, ""push"": {""enabled"": true, ""frequency"": ""immediate""}}}","{""email"": true, ""sms"": false, ""push"": {""enabled"": true, ""frequency"": ""immediate""}}",True,"{""enabled"": true, ""frequency"": ""immediate""}",True,immediate,False,light,"{""privacy"": {""public_profile"": false, ""data_sharing"": true, ""analytics"": {""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": true, ""marketing"": true}}}}","{""public_profile"": false, ""data_sharing"": true, ""analytics"": {""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": true, ""marketing"": true}}}","{""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": true, ""marketing"": true}}","{""essential"": true, ""analytics"": true, ""marketing"": true}",True,True,True,False,True,False
9,"{""profile"": {""personal"": {""name"": ""User 9"", ""email"": ""user9@example.com"", ""demographics"": {""age"": 54, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 44.314456, ""lng"": -118.619688}}}}, ""preferences"": {""theme"": ""light"", ""notifications"": {""email"": false, ""sms"": true, ""push"": {""enabled"": false, ""frequency"": ""hourly""}}}}, ""settings"": {""privacy"": {""public_profile"": true, ""data_sharing"": true, ""analytics"": {""tracking"": true, ""cookies"": {""essential"": true, ""analytics"": true, ""marketing"": false}}}}}","{""personal"": {""name"": ""User 9"", ""email"": ""user9@example.com"", ""demographics"": {""age"": 54, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 44.314456, ""lng"": -118.619688}}}}, ""preferences"": {""theme"": ""light"", ""notifications"": {""email"": false, ""sms"": true, ""push"": {""enabled"": false, ""frequency"": ""hourly""}}}}","{""name"": ""User 9"", ""email"": ""user9@example.com"", ""demographics"": {""age"": 54, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 44.314456, ""lng"": -118.619688}}}}","{""age"": 54, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 44.314456, ""lng"": -118.619688}}}",54,"{""country"": ""USA"", ""coordinates"": {""lat"": 44.314456, ""lng"": -118.619688}}","{""lat"": 44.314456, ""lng"": -118.619688}",44.314456,-118.619688,USA,user9@example.com,User 9,"{""theme"": ""light"", ""notifications"": {""email"": false, ""sms"": true, ""push"": {""enabled"": false, ""frequency"": ""hourly""}}}","{""email"": false, ""sms"": true, ""push"": {""enabled"": false, ""frequency"": ""hourly""}}",False,"{""enabled"": false, ""frequency"": ""hourly""}",False,hourly,True,light,"{""privacy"": {""public_profile"": true, ""data_sharing"": true, ""analytics"": {""tracking"": true, ""cookies"": {""essential"": true, ""analytics"": true, ""marketing"": false}}}}","{""public_profile"": true, ""data_sharing"": true, ""analytics"": {""tracking"": true, ""cookies"": {""essential"": true, ""analytics"": true, ""marketing"": false}}}","{""tracking"": true, ""cookies"": {""essential"": true, ""analytics"": true, ""marketing"": false}}","{""essential"": true, ""analytics"": true, ""marketing"": false}",True,True,False,True,True,True
10,"{""profile"": {""personal"": {""name"": ""User 10"", ""email"": ""user10@example.com"", ""demographics"": {""age"": 49, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 38.963519, ""lng"": -81.163835}}}}, ""preferences"": {""theme"": ""dark"", ""notifications"": {""email"": true, ""sms"": false, ""push"": {""enabled"": true, ""frequency"": ""daily""}}}}, ""settings"": {""privacy"": {""public_profile"": true, ""data_sharing"": true, ""analytics"": {""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": false, ""marketing"": true}}}}}","{""personal"": {""name"": ""User 10"", ""email"": ""user10@example.com"", ""demographics"": {""age"": 49, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 38.963519, ""lng"": -81.163835}}}}, ""preferences"": {""theme"": ""dark"", ""notifications"": {""email"": true, ""sms"": false, ""push"": {""enabled"": true, ""frequency"": ""daily""}}}}","{""name"": ""User 10"", ""email"": ""user10@example.com"", ""demographics"": {""age"": 49, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 38.963519, ""lng"": -81.163835}}}}","{""age"": 49, ""location"": {""country"": ""USA"", ""coordinates"": {""lat"": 38.963519, ""lng"": -81.163835}}}",49,"{""country"": ""USA"", ""coordinates"": {""lat"": 38.963519, ""lng"": -81.163835}}","{""lat"": 38.963519, ""lng"": -81.163835}",38.963519,-81.163835,USA,user10@example.com,User 10,"{""theme"": ""dark"", ""notifications"": {""email"": true, ""sms"": false, ""push"": {""enabled"": true, ""frequency"": ""daily""}}}","{""email"": true, ""sms"": false, ""push"": {""enabled"": true, ""frequency"": ""daily""}}",True,"{""enabled"": true, ""frequency"": ""daily""}",True,daily,False,dark,"{""privacy"": {""public_profile"": true, ""data_sharing"": true, ""analytics"": {""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": false, ""marketing"": true}}}}","{""public_profile"": true, ""data_sharing"": true, ""analytics"": {""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": false, ""marketing"": true}}}","{""tracking"": false, ""cookies"": {""essential"": true, ""analytics"": false, ""marketing"": true}}","{""essential"": true, ""analytics"": false, ""marketing"": true}",False,True,True,False,True,True
