created_at,customer,customer.address,customer.address.city,customer.address.state,customer.address.street,customer.address.zip,customer.email,customer.name,customer_id,items,order_id,payment,payment.last_four,payment.method,shipping,shipping.carrier,shipping.cost,shipping.tracking,status,total
2024-07-07T00:00:00,"{""name"": ""Customer 0"", ""email"": ""customer0@shop.example"", ""address"": {""street"": ""32 Main St"", ""city"": ""Portland"", ""state"": ""OR"", ""zip"": ""12361""}}","{""street"": ""32 Main St"", ""city"": ""Portland"", ""state"": ""OR"", ""zip"": ""12361""}",Portland,OR,32 Main St,12361,customer0@shop.example,Customer 0,9988,"[{""product"": ""Phone"", ""quantity"": 2, ""price"": 917.58, ""sku"": ""SKU-459""}]",ORD-10000,"{""method"": ""paypal"", ""last_four"": ""1824""}",1824,paypal,"{""carrier"": ""UPS"", ""tracking"": ""TR933414386"", ""cost"": 25.84}",UPS,25.84,TR933414386,delivered,1978.56
2024-02-09T00:00:00,"{""name"": ""Customer 1"", ""email"": ""customer1@shop.example"", ""address"": {""street"": ""401 Main St"", ""city"": ""Seattle"", ""state"": ""OR"", ""zip"": ""38365""}}","{""street"": ""401 Main St"", ""city"": ""Seattle"", ""state"": ""OR"", ""zip"": ""38365""}",Seattle,OR,401 Main St,38365,customer1@shop.example,Customer 1,4668,"[{""product"": ""Laptop"", ""quantity"": 3, ""price"": 51.76, ""sku"": ""SKU-455""}, {""product"": ""Watch"", ""quantity"": 4, ""price"": 795.85, ""sku"": ""SKU-214""}, {""product"": ""Tablet"", ""quantity"": 2, ""price"": 931.21, ""sku"": ""SKU-149""}]",ORD-10001,"{""method"": ""paypal"", ""last_four"": ""1465""}",1465,paypal,"{""carrier"": ""FedEx"", ""tracking"": ""TR989531487"", ""cost"": 11.74}",FedEx,11.74,TR989531487,cancelled,2040.3
2024-03-15T00:00:00,"{""name"": ""Customer 2"", ""email"": ""customer2@shop.example"", ""address"": {""street"": ""280 Main St"", ""city"": ""Seattle"", ""state"": ""OR"", ""zip"": ""81217""}}","{""street"": ""280 Main St"", ""city"": ""Seattle"", ""state"": ""OR"", ""zip"": ""81217""}",Seattle,OR,280 Main St,81217,customer2@shop.example,Customer 2,4376,"[{""product"": ""Headphones"", ""quantity"": 4, ""price"": 329.3, ""sku"": ""SKU-649""}, {""product"": ""Tablet"", ""quantity"": 2, ""price"": 219.92, ""sku"": ""SKU-178""}, {""product"": ""Phone"", ""quantity"": 5, ""price"": 383.66, ""sku"": ""SKU-935""}, {""product"": ""Headphones"", ""quantity"": 4, ""price"": 730.41, ""sku"": ""SKU-717""}]",ORD-10002,"{""method"": ""apple_pay"", ""last_four"": ""8121""}",8121,apple_pay,"{""carrier"": ""UPS"", ""tracking"": ""TR194841639"", ""cost"": 7.01}",UPS,7.01,TR194841639,shipped,2278.9
2024-07-11T00:00:00,"{""name"": ""Customer 3"", ""email"": ""customer3@shop.example"", ""address"": {""street"": ""349 Main St"", ""city"": ""Seattle"", ""state"": ""OR"", ""zip"": ""41952""}}","{""street"": ""349 Main St"", ""city"": ""Seattle"", ""state"": ""OR"", ""zip"": ""41952""}",Seattle,OR,349 Main St,41952,customer3@shop.example,Customer 3,4267,"[{""product"": ""Laptop"", ""quantity"": 1, ""price"": 938.4, ""sku"": ""SKU-366""}, {""product"": ""Headphones"", ""quantity"": 3, ""price"": 587.4, ""sku"": ""SKU-208""}, {""product"": ""Speakers"", ""quantity"": 4, ""price"": 472.11, ""sku"": ""SKU-830""}, {""product"": ""Phone"", ""quantity"": 5, ""price"": 535.29, ""sku"": ""SKU-741""}]",ORD-10003,"{""method"": ""paypal"", ""last_four"": ""2400""}",2400,paypal,"{""carrier"": ""UPS"", ""tracking"": ""TR662224560"", ""cost"": 21.57}",UPS,21.57,TR662224560,cancelled,2311.36
2024-06-28T00:00:00,"{""name"": ""Customer 4"", ""email"": ""customer4@shop.example"", ""address"": {""street"": ""318 Main St"", ""city"": ""Portland"", ""state"": ""CO"", ""zip"": ""44431""}}","{""street"": ""318 Main St"", ""city"": ""Portland"", ""state"": ""CO"", ""zip"": ""44431""}",Portland,CO,318 Main St,44431,customer4@shop.example,Customer 4,2826,"[{""product"": ""Camera"", ""quantity"": 2, ""price"": 673.79, ""sku"": ""SKU-169""}]",ORD-10004,"{""method"": ""credit_card"", ""last_four"": ""7724""}",7724,credit_card,"{""carrier"": ""UPS"", ""tracking"": ""TR663030647"", ""cost"": 15.36}",UPS,15.36,TR663030647,cancelled,883.03
2024-03-29T00:00:00,"{""name"": ""Customer 5"", ""email"": ""customer5@shop.example"", ""address"": {""street"": ""544 Main St"", ""city"": ""San Francisco"", ""state"": ""CA"", ""zip"": ""52349""}}","{""street"": ""544 Main St"", ""city"": ""San Francisco"", ""state"": ""CA"", ""zip"": ""52349""}",San Francisco,CA,544 Main St,52349,customer5@shop.example,Customer 5,6346,"[{""product"": ""Phone"", ""quantity"": 1, ""price"": 383.68, ""sku"": ""SKU-679""}]",ORD-10005,"{""method"": ""apple_pay"", ""last_four"": ""6067""}",6067,apple_pay,"{""carrier"": ""UPS"", ""tracking"": ""TR412431671"", ""cost"": 8.99}",UPS,8.99,TR412431671,processing,2321.57
2024-05-04T00:00:00,"{""name"": ""Customer 6"", ""email"": ""customer6@shop.example"", ""address"": {""street"": ""13 Main St"", ""city"": ""Denver"", ""state"": ""CO"", ""zip"": ""94162""}}","{""street"": ""13 Main St"", ""city"": ""Denver"", ""state"": ""CO"", ""zip"": ""94162""}",Denver,CO,13 Main St,94162,customer6@shop.example,Customer 6,1277,"[{""product"": ""Laptop"", ""quantity"": 2, ""price"": 584.71, ""sku"": ""SKU-683""}]",ORD-10006,"{""method"": ""credit_card"", ""last_four"": ""3403""}",3403,credit_card,"{""carrier"": ""USPS"", ""tracking"": ""TR237692589"", ""cost"": 11.65}",USPS,11.65,TR237692589,delivered,2046.73
2024-06-13T00:00:00,"{""name"": ""Customer 7"", ""email"": ""customer7@shop.example"", ""address"": {""street"": ""343 Main St"", ""city"": ""Denver"", ""state"": ""CO"", ""zip"": ""20766""}}","{""street"": ""343 Main St"", ""city"": ""Denver"", ""state"": ""CO"", ""zip"": ""20766""}",Denver,CO,343 Main St,20766,customer7@shop.example,Customer 7,3080,"[{""product"": ""Camera"", ""quantity"": 5, ""price"": 168.4, ""sku"": ""SKU-476""}]",ORD-10007,"{""method"": ""paypal"", ""last_four"": ""7895""}",7895,paypal,"{""carrier"": ""UPS"", ""tracking"": ""TR961970654"", ""cost"": 22.91}",UPS,22.91,TR961970654,cancelled,492.8
2024-03-03T00:00:00,"{""name"": ""Customer 8"", ""email"": ""customer8@shop.example"", ""address"": {""street"": ""213 Main St"", ""city"": ""Denver"", ""state"": ""CO"", ""zip"": ""77869""}}","{""street"": ""213 Main St"", ""city"": ""Denver"", ""state"": ""CO"", ""zip"": ""77869""}",Denver,CO,213 Main St,77869,customer8@shop.example,Customer 8,3792,"[{""product"": ""Headphones"", ""quantity"": 3, ""price"": 758.89, ""sku"": ""SKU-357""}, {""product"": ""Headphones"", ""quantity"": 2, ""price"": 310.39, ""sku"": ""SKU-606""}, {""product"": ""Tablet"", ""quantity"": 3, ""price"": 158.85, ""sku"": ""SKU-610""}]",ORD-10008,"{""method"": ""apple_pay"", ""last_four"": ""8921""}",8921,apple_pay,"{""carrier"": ""UPS"", ""tracking"": ""TR148217891"", ""cost"": 19.02}",UPS,19.02,TR148217891,pending,1500.87
2024-01-20T00:00:00,"{""name"": ""Customer 9"", ""email"": ""customer9@shop.example"", ""address"": {""street"": ""101 Main St"", ""city"": ""Denver"", ""state"": ""CO"", ""zip"": ""55565""}}","{""street"": ""101 Main St"", ""city"": ""Denver"", ""state"": ""CO"", ""zip"": ""55565""}",Denver,CO,101 Main St,55565,customer9@shop.example,Customer 9,9354,"[{""product"": ""Headphones"", ""quantity"": 5, ""price"": 185.39, ""sku"": ""SKU-663""}]",ORD-10009,"{""method"": ""credit_card"", ""last_four"": ""4958""}",4958,credit_card,"{""carrier"": ""UPS"", ""tracking"": ""TR872789207"", ""cost"": 23.99}",UPS,23.99,TR872789207,processing,2488.2
